"code","name","hierarchy_level","hierarchy_level_name","parent_loc_code","lang_code","is_active","cr_by","cr_dtimes","upd_by","upd_dtimes","is_deleted","del_dtimes","column11","column12","column13","column14","column15","column16","column17","column18","column19","column20","column21","column22","column23","column24","column25","column26"
"8303",Pan de frein,3,village,"8202",fra,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8304",Paris,3,village,"8202",fra,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8305",Sasolbourg,3,village,"8203",fra,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8306",Kahului,3,village,"8203",fra,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8307",Boise,3,village,"8204",fra,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8308",Nampa,3,village,"8204",fra,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8100",देश,0,देश,null,hin,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8101",केंटन,1,प्रांत,"8100",hin,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8102",डेलावेयर,1,प्रांत,"8100",hin,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8201",Farmington,2,शहर,"8101",hin,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8202",एल डोरैडो,2,शहर,"8101",hin,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8203",मैगनोलिया,2,शहर,"8102",hin,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8204",Alhambra,2,शहर,"8102",hin,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8301",ग्राहमस्टाउन,3,गाँव,"8201",hin,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8302",प्रिटोरिया,3,गाँव,"8201",hin,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8303",ब्रैकपैन,3,गाँव,"8202",hin,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8304",पार्यस,3,गाँव,"8202",hin,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8305",सासोलबर्ग,3,गाँव,"8203",hin,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8306",Kahului,3,गाँव,"8203",hin,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8307",बोइज़,3,गाँव,"8204",hin,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8308",नंपा,3,गाँव,"8204",hin,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8100",ದೇಶ,0,ದೇಶ,null,kan,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8101",ಕ್ಯಾಂಟನ್,1,ಪ್ರಾವಿನ್ಸ್,"8100",kan,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8102",ಡೆಲವೇರ್,1,ಪ್ರಾವಿನ್ಸ್,"8100",kan,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8201",ಫಾರ್ಮಿಂಗ್ಟನ್,2,ನಗರ,"8101",kan,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8202",ಎಲ್ ಡೊರಾಡೊ,2,ನಗರ,"8101",kan,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8203",ಮ್ಯಾಗ್ನೋಲಿಯಾ,2,ನಗರ,"8102",kan,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8204",ಅಲ್ಹಂಬ್ರಾ,2,ನಗರ,"8102",kan,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8301",ಗ್ರಹಾಂಸ್ಟೌನ್,3,ಗ್ರಾಮ,"8201",kan,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8302",ಪ್ರಿಟೋರಿಯಾ,3,ಗ್ರಾಮ,"8201",kan,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8303",ಬ್ರಾಕ್ಪಾನ್,3,ಗ್ರಾಮ,"8202",kan,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8304",ಪ್ಯಾರಿಸ್,3,ಗ್ರಾಮ,"8202",kan,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8305",ಸಾಸೊಲ್ಬರ್ಗ್,3,ಗ್ರಾಮ,"8203",kan,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8306",ಕಹುಲುಯಿ,3,ಗ್ರಾಮ,"8203",kan,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8307",ಬೋಯಿಸ್,3,ಗ್ರಾಮ,"8204",kan,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8308",ನಂಬಾ,3,ಗ್ರಾಮ,"8204",kan,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8100",நாடு,0,நாடு,null,tam,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8101",காண்டன்,1,மாகாணம்,"8100",tam,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8102",டெலவேர்,1,மாகாணம்,"8100",tam,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8201",ஃபார்மிங்டன்,2,நகரம்,"8101",tam,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8202",எல் டொராடோ,2,நகரம்,"8101",tam,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8203",மாக்னோலியா,2,நகரம்,"8102",tam,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8204",அல்ஹம்ப்ரா,2,நகரம்,"8102",tam,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8301",கிரஹாம்ஸ்டவுன்,3,கிராமம்,"8201",tam,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8302",பிரிட்டோரியா,3,கிராமம்,"8201",tam,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8303",பிரக்பன்,3,கிராமம்,"8202",tam,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8304",பாரிஸ்,3,கிராமம்,"8202",tam,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8305",சசோல்பர்க்,3,கிராமம்,"8203",tam,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8306",கஹுலுய்,3,கிராமம்,"8203",tam,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8307",போயஸ்,3,கிராமம்,"8204",tam,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8308",நம்பா,3,கிராமம்,"8204",tam,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8100",país,0,país,null,spa,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8101",Cantón,1,provincia,"8100",spa,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8102",Delaware,1,provincia,"8100",spa,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8201",Farmington,2,ciudad,"8101",spa,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8202",Eldorado,2,ciudad,"8101",spa,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8203",Magnolia,2,ciudad,"8102",spa,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8204",Alhambra,2,ciudad,"8102",spa,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8301",grahamstown,3,aldea,"8201",spa,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8302",Pretoria,3,aldea,"8201",spa,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8303",Brakpan,3,aldea,"8202",spa,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8304",parís,3,aldea,"8202",spa,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8305",Sasolburgo,3,aldea,"8203",spa,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8306",Kahului,3,aldea,"8203",spa,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8307",Boise,3,aldea,"8204",spa,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8308",Nampa,3,aldea,"8204",spa,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
